Period,Programme,Project ID (2021-2027 only),Project acronym,Project name,Description,Expected Achievements,Project start,Project end,Relevant mentions and prizes,Project's total budget / expenditure,Project's EU funding,Union co-financing rate,Contributing EU funds,Programme specific objective (2021-2027 only),Type of intervention (2021-2027 only),Programme Priority (2021-2027 only),Operation of strategic importance (OSI) or project above EUR 5 million,Policy Objective (Interreg Specific Objective),Theme 1,Theme 2,Theme 3,Number of Partners,ERDF Contribution (amount),ERDF Contribution (co-financing rate),ERDF equivalent (amount ),ERDF equivalent (co-financing rate ),ERDF equivalent (source ),Delivered output indicators (2021-2027 only),Delivered result indicators (2021-2027 only),European Union MRSs to which the project contributes,Website,Project is Small Project (2021-2027 only),Call serial number
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C076,H2Deri@BSP,H2-Derivatives@BalticSeaPorts,"The use of low- or zero-carbon maritime fuels in the BSR hinges on the ability to handle H2-derivatives (methanol, ammonia) at the seaports. The strategy, planning & operations departments of port authorities, terminal operators, maritime fuel providers and energy suppliers lack know-how, tools and strategies to speed up the necessary preparatory works.
There is a need for H2-Derivative market forecasts, techno-economic models to decide on investments, suitable bunkering equipment and berth mappings. The port transformation requires adapted port regulations including safety manuals for handling, and suitable bunkering technology. Equipment for ship-to-ship and truck-to-ship methanol bunkering needs to be defined and tested, proper public communication with port residents are required.

H2Deri@BSP will increase the capacity of port authorities and helps to build stronger cooperation to jointly develop proof-of concepts for the uptake of H2 Derivatives fuels and by that demonstrates a pathway to the successful transition towards zero emission in energy supply and shipping.

The project solutions are relevant for all target groups across the EU, made accessible through intensive dissemination. Target groups outside the H2Deri@BSP partnership will apply the solutions and achieve a fast transformation of green energy supply land-side and sea-side. Applying the project solutions will help reducing CO2 emissions in EU regions and mitigate the negative effects of climate change.","The use of low- or zero-carbon maritime fuels in the BSR hinges on the ability to handle H2-derivatives (methanol, ammonia) at the seaports. The strategy, planning & operations departments of port authorities, terminal operators, maritime fuel providers and energy suppliers lack know-how, tools and strategies to speed up the necessary preparatory works.
There is a need for H2-Derivative market forecasts, techno-economic models to decide on investments, suitable bunkering equipment and berth mappings. The port transformation requires adapted port regulations including safety manuals for handling, and suitable bunkering technology. Equipment for ship-to-ship and truck-to-ship methanol bunkering needs to be defined and tested, proper public communication with port residents are required.

H2Deri@BSP will increase the capacity of port authorities and helps to build stronger cooperation to jointly develop proof-of concepts for the uptake of H2 Derivatives fuels and by that demonstrates a pathway to the successful transition towards zero emission in energy supply and shipping.

The project solutions are relevant for all target groups across the EU, made accessible through intensive dissemination. Target groups outside the H2Deri@BSP partnership will apply the solutions and achieve a fast transformation of green energy supply land-side and sea-side. Applying the project solutions will help reducing CO2 emissions in EU regions and mitigate the negative effects of climate change.",2025-03-01,2028-02-29,0.0,2858359.2,2286687.36,80%,ERDF,RSO2.1. Promoting energy efficiency and reducing greenhouse gas emissions,053 Smart Energy Systems (including smart grids and ICT systems) and related storage,(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Climate change and biodiversity,Waste and pollution,Logistics and freight transport,16,2286687.36,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/h2deribsp/,False,C3.2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#P005,HAZGONE,Connecting up- and downstream measures for better hazardous substances governance and policy in the Baltic Sea Region,"There's no doubt, that hazardous substances (HAZ) and micropollutants (MPs) are two sides of the same coin and a big issue in the Baltic Sea Region (BSR). In practice however, these topics are divided into two categories: ""upstream"" (prevention, substitution, disposal of HAZ) and ""downstream"" (removal, monitoring, analysis of MPs). The HAZGONE platform aims to connect these, equipping local and national authorities, non-governmental organisations, business associations and others with a holistic understanding of the HAZ sources and pathways.

Strong outputs have been created in Interreg BSR projects such as NonHazCity 1-3, EMPEREST, ChemClimCircle1-2, APRIORA and many others, which the platform brings together using Baltic Smart Water HUB as a digital headquarters. Using these collected materials, the project will:
1) establish a network of stakeholders providing three years of active exchange through public forums, online events, and other engagement tools;
2) bring tailored outreach materials to the target groups, enabling them to reach their communities; 
3) assist national authorities and treatment plants with the adoption to the revised Urban Wastewater Treatment Directive; 
4) take the collected knowledge to the policy level and ensure an equal presence of both up- and downstream measures. 

The holistic approach to HAZ is vital for tackling the problem from both ends of the ""pipe"" and ensuring a better state of the Baltic, both for the environment and our own health.","There's no doubt, that hazardous substances (HAZ) and micropollutants (MPs) are two sides of the same coin and a big issue in the Baltic Sea Region (BSR). In practice however, these topics are divided into two categories: ""upstream"" (prevention, substitution, disposal of HAZ) and ""downstream"" (removal, monitoring, analysis of MPs). The HAZGONE platform aims to connect these, equipping local and national authorities, non-governmental organisations, business associations and others with a holistic understanding of the HAZ sources and pathways.

Strong outputs have been created in Interreg BSR projects such as NonHazCity 1-3, EMPEREST, ChemClimCircle1-2, APRIORA and many others, which the platform brings together using Baltic Smart Water HUB as a digital headquarters. Using these collected materials, the project will:
1) establish a network of stakeholders providing three years of active exchange through public forums, online events, and other engagement tools;
2) bring tailored outreach materials to the target groups, enabling them to reach their communities; 
3) assist national authorities and treatment plants with the adoption to the revised Urban Wastewater Treatment Directive; 
4) take the collected knowledge to the policy level and ensure an equal presence of both up- and downstream measures. 

The holistic approach to HAZ is vital for tackling the problem from both ends of the ""pipe"" and ensuring a better state of the Baltic, both for the environment and our own health.",2025-07-01,2028-06-30,0.0,1199906.4,959925.12,80%,ERDF,ISO6.6. Other actions to support better cooperation governance (all strands),"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_4) Cooperation governance,True,PO6 (ISO1) A better cooperation governance,Coastal management and maritime issues,Waste and pollution,Knowledge and technology transfer,12,959925.12,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/hazgone/,False,P1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C031,HyTruck,Developing a transnational network of hydrogen refuelling stations for trucks,"The objective of HyTruck is to support public authorities in steering the development of a transnational network of GREEN hydrogen refuelling stations (HRS) suited for large trucks. This shall help to overcome the “chicken & egg problem” that SMEs and infrastructure providers are facing:
Haulage and logistics companies that maintain large fleets of heavy vehicles are willing to invest in fuel cell trucks to decarbonize their fleets. The prerequisite for a fuel cell truck to be able to travel from Poznan to Tartu (and back) is that it can refuel with H2 on the way – but today virtually no HRS for large trucks exist.
The developers of HRS are prepared to invest in the development of a network of filling stations. The prerequisite is that there are enough fuel cell vehicles that demand green H2 as alternative fuel – but today there are hardly any fuel cell trucks on the road.
The EU Regulation AFIR requires member states to take action and plan HRS in parallel to the ramp-up of H2 technology in the transportation sector. The build-up of a transnational HRS network is a complex process with a spatial, economic, environmental and technological dimension. HyTruck is developing solutions that equip public authorities with the capacity and tools to elaborate spatial development concepts, provide the regulatory framework, ensure common standards and design public co-funding programmes.
Ultimately HyTruck works towards zero – emission in international road freight transport in the BSR.","The objective of HyTruck is to support public authorities in steering the development of a transnational network of GREEN hydrogen refuelling stations (HRS) suited for large trucks. This shall help to overcome the “chicken & egg problem” that SMEs and infrastructure providers are facing:
Haulage and logistics companies that maintain large fleets of heavy vehicles are willing to invest in fuel cell trucks to decarbonize their fleets. The prerequisite for a fuel cell truck to be able to travel from Poznan to Tartu (and back) is that it can refuel with H2 on the way – but today virtually no HRS for large trucks exist.
The developers of HRS are prepared to invest in the development of a network of filling stations. The prerequisite is that there are enough fuel cell vehicles that demand green H2 as alternative fuel – but today there are hardly any fuel cell trucks on the road.
The EU Regulation AFIR requires member states to take action and plan HRS in parallel to the ramp-up of H2 technology in the transportation sector. The build-up of a transnational HRS network is a complex process with a spatial, economic, environmental and technological dimension. HyTruck is developing solutions that equip public authorities with the capacity and tools to elaborate spatial development concepts, provide the regulatory framework, ensure common standards and design public co-funding programmes.
Ultimately HyTruck works towards zero – emission in international road freight transport in the BSR.",2023-01-01,2025-12-31,0.0,2557583.2,2046066.56,80%,ERDF,"RSO2.8. Promoting sustainable multimodal urban mobility, as part of transition to a net zero carbon economy",086 Alternative fuels infrastructure,(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Green technologies,SME and entrepreneurship,,11,2046066.56,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/hytruck/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C066,HybReDe,Effective joint hybrid e-rehabilitation solutions for BSR citizens,"The project increases the acceptance and understanding the development of AI based Virtual Assistants (VA) for public sector rehabilitation processes. It facilitates new initiatives to adopt VAs as part of it. The project is needed in all levels of decision making concerning labor-intensive rehabilitation processes, within rehabilitation stakeholders and patients and in health technology industry in Europe. Many parts of the rehabilitation process could benefit of VAs, but they are not fully utilized due their poor acceptance, difficult development and strict health care regulation. There isn’t guidelines and promos to help the rehabilitation stakeholders, users and professionals or technology industry to develop their services towards hybrid e-rehabilitation. This project produces carefully planned, developed and in real life situation piloted demo versions of VAs, guidelines and descriptions of their requirements and possibility to test them. Giving an examples of “how to do it” and possibility to see the piloted VAs, will support the target groups to overcome their doubts of using AI in rehabilitation process. It helps the industry to increase their readiness level to offer suitable solutions for regulated public health sector. The project outcome is developed and piloted for rehabilitation, but with the guidelines and e-books it is scalable for other health care sectors. By that, society will gain resilience offering people more and timely health care services.","The project increases the acceptance and understanding the development of AI based Virtual Assistants (VA) for public sector rehabilitation processes. It facilitates new initiatives to adopt VAs as part of it. The project is needed in all levels of decision making concerning labor-intensive rehabilitation processes, within rehabilitation stakeholders and patients and in health technology industry in Europe. Many parts of the rehabilitation process could benefit of VAs, but they are not fully utilized due their poor acceptance, difficult development and strict health care regulation. There isn’t guidelines and promos to help the rehabilitation stakeholders, users and professionals or technology industry to develop their services towards hybrid e-rehabilitation. This project produces carefully planned, developed and in real life situation piloted demo versions of VAs, guidelines and descriptions of their requirements and possibility to test them. Giving an examples of “how to do it” and possibility to see the piloted VAs, will support the target groups to overcome their doubts of using AI in rehabilitation process. It helps the industry to increase their readiness level to offer suitable solutions for regulated public health sector. The project outcome is developed and piloted for rehabilitation, but with the guidelines and e-books it is scalable for other health care sectors. By that, society will gain resilience offering people more and timely health care services. ",2025-03-01,2028-02-29,0.0,1242784.99,994227.99,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Labour market and employment,Health and social services,Knowledge and technology transfer,8,994227.99,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/hybrede/,False,C3.2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C036,INTERACTIVE GARDENS,Integrated system for interactive public garden development in Baltic Sea Region,"The project will take the challenge of developing the interactive nature-based garden concept in relation to social needs and diversity of localities. The output is targeted at public authorities, research and education institutions, as well as at society groups using public garden services, garden stakeholders and their community strengthening; and for EU Strategies and BSR Policy. The multivariate set of real garden installations will justify the role the interactive garden services to promote public health, well-being, and education in different environments, and tackle the barriers of social impact by development by the tool for feedback/response options for a diverse groups of citizens. The virtual sample garden conveys characteristics and functionality of virtual reality (VR) visualizing the potential dynamics of the garden, in applicable timelines (past to future), and opening the way to future garden development based on IoT sensor data and simulation modeling. The methodology for a two-level evaluation of the interactive public garden system will be developed for primary and secondary users for ensuring ongoing improvements of interactive garden system components and for the prototype adjustments. The prototype of the informative network of the project gardens serves internal and external information through the development phases and leads to the finalized informative network ensuring an over boarder exploitation of an interactive garden system in BSR and wider.","The project will take the challenge of  developing the interactive nature-based garden concept in relation to social needs and diversity of localities. The output is targeted at public authorities, research and education institutions, as well as at society groups using public garden services, garden stakeholders and their community strengthening; and for EU Strategies and BSR Policy. The multivariate set of real garden installations will justify the role the interactive garden services to promote public health, well-being, and education in different environments, and tackle the barriers of social impact by development by  the tool for feedback/response options for a diverse groups of citizens. The virtual sample garden conveys characteristics and functionality of virtual reality (VR) visualizing the potential dynamics of the garden, in applicable timelines (past to future), and opening the way to future garden development based on IoT sensor data and simulation modeling. The methodology for a two-level evaluation of the interactive public garden system will be developed for primary and secondary users for ensuring ongoing improvements of interactive garden system components and for the prototype adjustments. The prototype of the informative network of the project gardens serves internal and external information through the development phases and leads to the finalized informative network ensuring an  over boarder exploitation of an interactive garden system in BSR and wider.",2023-11-01,2026-10-31,0.0,2790120.0,2232096.0,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,ICT and digital society,Green technologies,,13,2232096.0,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/interactive-gardens/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C025,KISMET,KISMET – sustainable food environments,"With KISMET, we change our ‘destiny’ and transform the current unfavourable food systems in cities and regions around the Baltic Sea to sustainability. The project tackles the challenge that local and regional authorities often lack capacity, require new impulses or need innovative solutions for realising more circular and sustainable food environments. Since this target group is key for different fields such as business promotion, health, procurement, food policy or environment, KISMET provides them with concrete instruments and tools for working better with 1. governance, 2. the demand-side and the 3. production side. These three components are part of the overall solution “Enabling Programme for sustainable food environments” which is developed by the 13 project partners. It entails a mix of concrete different digital formats (tools, documents, scripts, videos, infographics, etc.). KISMET further establishes 8 Local Innovation Partnerships – in which the target groups are represented as partners and associated organisations – and pilots the solution in these 8 cases. The project then transfers the “Enabling Programme” to further target groups via replicator/friendship cities for jointly implementing and rolling out the solution. Target groups will be better equipped to eventually change consumer behaviour for good, create circular business opportunities and make food chains and production more regional so that societies can make a big step towards climate-neutrality.","With KISMET, we change our ‘destiny’ and transform the current unfavourable food systems in cities and regions around the Baltic Sea to sustainability. The project tackles the challenge that local and regional authorities often lack capacity, require new impulses or need innovative solutions for realising more circular and sustainable food environments. Since this target group is key for different fields such as business promotion, health, procurement, food policy or environment, KISMET provides them with concrete instruments and tools for working better with 1. governance, 2. the demand-side and the 3. production side. These three components are part of the overall solution “Enabling Programme for sustainable food environments” which is developed by the 13 project partners. It entails a mix of concrete different digital formats (tools, documents, scripts, videos, infographics, etc.). KISMET further establishes 8 Local Innovation Partnerships – in which the target groups are represented as partners and associated organisations – and pilots the solution in these 8 cases. The project then transfers the “Enabling Programme” to further target groups via replicator/friendship cities for jointly implementing and rolling out the solution. Target groups will be better equipped to eventually change consumer behaviour for good, create circular business opportunities and make food chains and production more regional so that societies can make a big step towards climate-neutrality.",2023-01-01,2025-12-31,0.0,3627012.0,2901609.6,80%,ERDF,RSO2.6. Promoting the transition to a circular and resource efficient economy,"046 Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",ICT and digital society,,,16,2901609.6,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/kismet/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C007,KidsLikeUs,Empowering NGOs & public institutions in helping children overcome migration traumas using creativity and favors of nature,"In 2022 a huge migration tsunami hit Europe again. This time, in comparison to the Mediterranean migration crisis 7 years ago, it has been much bigger, reaching over 5 MM people that have fled Ukraine by the 20th of April. One of the most vulnerable groups in the migration process are children – they often don’t know the language and their mental health is not ready to cope with such big traumas and changes in their surroundings. The concern of the mental health of children is much wider indeed. Since 2020 children and adolescents have been deeply affected by the mental health impacts of the pandemic. Experts indicate that they can feel the trauma and anxiety long after the war, pandemic or any other trauma triggering factor ends. 
So, what if the volunteers, educators, public institutions and NGOs learned how to create quickly small “Superhero sensory gardens” and got the instructions how to use them for the benefit of the young citizens? What if that could be helpful to improve the mental health not only of the refugees, but actually people of all ages and nationalities?
Children are the future of every society. They will build a new world for the generations to come. Imagine we can take a good care of them now so that they are equipped with strong mental attitudes and belief that despite the traumas, they are valuable and welcomed no matter what EU country they happened to live in. Children‘s mental health and well-being are borderless issues thus we all need to act now.","In 2022 a huge migration tsunami hit Europe again. This time, in comparison to the Mediterranean migration crisis 7 years ago, it has been much bigger, reaching over 5 MM people that have fled Ukraine by the 20th of April. One of the most vulnerable groups in the migration process are children – they often don’t know the language and their mental health is not ready to cope with such big traumas and changes in their surroundings. The concern of the mental health of children is much wider indeed. Since 2020 children and adolescents have been deeply affected by the mental health impacts of the pandemic. Experts indicate that they can feel the trauma and anxiety long after the war, pandemic or any other trauma triggering factor ends. 
So, what if the volunteers, educators, public institutions and NGOs learned how to create quickly small “Superhero sensory gardens” and got the instructions how to use them for the benefit of the young citizens? What if that could be helpful to improve the mental health not only of the refugees, but actually people of all ages and nationalities?
Children are the future of every society. They will build a new world for the generations to come. Imagine we can take a good care of them now so that they are equipped with strong mental attitudes and belief that despite the traumas, they are valuable and welcomed no matter what EU country they happened to live in. Children‘s mental health and well-being are borderless issues thus we all need to act now.",2023-01-01,2025-12-31,"Selected by a Europe-wide jury of 1,000 citizens as a finalist in the Social Cohesion & Integration category for The Innovation in Politics Awards 2025.",1649647.99,1091200.0,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Demographic change and immigration,Health and social services,,11,1091200.0,80%,285647.99,50.0,Norway,,,EUSBSR,https://interreg-baltic.eu/project/kidslikeus/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S008,Lakes connect,Building networking hub for units interested in lakes protection in Baltic Sea tourist regions,"The project concerns establishing cooperation in the field of improving the quality of lake waters in tourist regions. It brings together representatives of science, NGOs and authorities at various level of governance, representing three Baltic countries: Poland, Lithuania and Latvia.
The aim of the project is to build networking hub for units interested in knowledge-based solutions limiting the impact of tourism on the quality of inland waters.
Building trust to raise awareness of lake pollution is a key project objective. The cooperation of the scientific world with local authorities and other organizations is still insufficient. Establishing a trust-based relationship will allow for better recognition of real problems faced e.g. by local authorities and searching for knowledge-based solutions. This will be done by organizing meetings and training which will enable the synergy of scientific knowledge with knowledge about the real problems of local communities. International cooperation will enable the exchange of experiences and the development of good practices in the cooperation of authorities at various level of governance with the scientific community and other organizations.
As part of the project, research units will conduct pilot study on the water quality of selected water reservoirs.The preliminary inventory of lake pollution will allow better identification of the problem and increase the knowledge of local authorities about the impact of tourism on water quality.","The project concerns establishing cooperation in the field of improving the quality of lake waters in tourist regions. It brings together representatives of science, NGOs and authorities at various level of governance, representing three Baltic countries: Poland, Lithuania and Latvia.
The aim of the project is to build networking hub for units interested in knowledge-based solutions limiting the impact of tourism on the quality of inland waters.
Building trust to raise awareness of lake pollution is a key project objective. The cooperation of the scientific world with local authorities and other organizations is still insufficient. Establishing a trust-based relationship will allow for better recognition of real problems faced e.g. by local authorities and searching for knowledge-based solutions. This will be done by organizing meetings and training which will enable the synergy of scientific knowledge with knowledge about the real problems of local communities. International cooperation will enable the exchange of experiences and the development of good practices in the cooperation of authorities at various level of governance with the scientific community and other organizations.
As part of the project, research units will conduct pilot study on the water quality of selected water reservoirs.The preliminary inventory of lake pollution will allow better identification of the problem and increase the knowledge of local authorities about the impact of tourism on water quality.",2022-10-01,2024-05-31,0.0,470670.0,376536.0,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,"064 Water management and water resource conservation (including river basin management, specific climate change adaptation measures, reuse, leakage reduction)",(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Scientific cooperation,Institutional cooperation and cooperation networks,"Waterways, lakes and rivers",5,376536.0,80%,,,,"
RCO87 - Organisations cooperating across borders: 10",PSR1 - Organisations with increased institutional capacity: 23,EUSBSR,https://interreg-baltic.eu/project/lakes-connect/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C034,Light in the Dark,Light in the Dark – Increasing resilience in rural and coastal tourism in the northern Baltic Sea Region by developing off-season experiences,"The off season period; fall, winter and spring in the northern Baltic Sea Region is dark and cold, and often without snow because of proximity to and humidity from the sea. This causes challenges for tourism and the problem is especially profound in rural and coastal areas in the northern Baltic Sea Region. The modern travelers are called nature explorers, natural wonder hunters, nature tribe tourists. They are looking to avoid crowds by travelling off season. They expect customized experiences, efficient service, they value nature and are willing to extend their stay. The project (1) responds to this need, and (2) supports the ability to respond to the Baltic Sea Region's common need to prolong the tourism season by developing a transnational northern Baltic archipelago concept for nature-based tourism. We create a fall-winter-spring package consisting of three product experience packages under the concept Light in the Dark for Small and Medium-sized Enterprises and Destination Management Organisations in tourism to attract travelers during off season. Transnational collaboration between universities, SMEs and Business Support Organizations promote coherent and synergistic implementation of the solution and add value by connecting all relevant stakeholders and businesses from different countries. The concept helps tourism sector to better respond to and adapt their businesses to off seasons, building resilience among businesses operating in the archipelago and coastal areas.","The off season period; fall, winter and spring in the northern Baltic Sea Region is dark and cold, and often without snow because of proximity to and humidity from the sea. This causes challenges for tourism and the problem is especially profound in rural and coastal areas in the northern Baltic Sea Region. The modern travelers are called nature explorers, natural wonder hunters, nature tribe tourists. They are looking to avoid crowds by travelling off season. They expect customized experiences, efficient service, they value nature and are willing to extend their stay. The project (1) responds to this need, and (2) supports the ability to respond to the Baltic Sea Region's common need to prolong the tourism season by developing a transnational northern Baltic archipelago concept for nature-based tourism. We create a fall-winter-spring package consisting of three product experience packages under the concept Light in the Dark for Small and Medium-sized Enterprises and Destination Management Organisations in tourism to attract travelers during off season. Transnational collaboration between universities, SMEs and Business Support Organizations promote coherent and synergistic implementation of the solution and add value by connecting all relevant stakeholders and businesses from different countries. The concept helps tourism sector to better respond to and adapt their businesses to off seasons, building resilience among businesses operating in the archipelago and coastal areas.",2023-11-01,2026-10-31,0.0,2723189.7,2178551.76,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Tourism,,,13,2178551.76,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/light-in-the-dark/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C010,Liveability,Liveability - Designing public services for resilient neighbourhoods,"Even before the COVID 19 crisis, many cities were facing complex social, environmental, and economic challenges, including social inequalities, impacts of climate change and demographic changes. However, changing work and life patterns are also a chance: medium-sized and smaller cities can attract residents and businesses by being liveable – i.e. by following an integrated and balanced approach for the built environment, innovation culture, public services and socio-cultural life and by evoking a strong sense of active citizenship.
To be more liveable, cities must become „closer"", ""more public"" and ""more agile"". For this, city administrations should encourage innovative mindsets, out-of-the-box thinking and use of participatory approaches among its civil servants. Public services and planning processes must become more responsive, and authorities should involve residents and civil society to develop ideas of what future urban life should look like. Public interest design (PID), i.e. the application of user-centred design in matters of general interest, is a suitable methodological framework for this objective. It can be applied in practically all domains of public services. The Liveability partnership prepares, pilots and transfers a capacity building programme for public interest design, addressing both the city-wide (leadership level) and civil servants. The project will invite candidate cities to transfer the programme to also be awarded the label of a liveable city.","Even before the COVID 19 crisis, many cities were facing complex social, environmental, and economic challenges, including social inequalities, impacts of climate change and demographic changes. However, changing work and life patterns are also a chance: medium-sized and smaller cities can attract residents and businesses by being liveable – i.e. by following an integrated and balanced approach for the built environment, innovation culture, public services and socio-cultural life and by evoking a strong sense of active citizenship.
To be more liveable, cities must become „closer"", ""more public"" and ""more agile"". For this, city administrations should encourage innovative mindsets, out-of-the-box thinking and use of participatory approaches among its civil servants. Public services and planning processes must become more responsive, and authorities should involve residents and civil society to develop  ideas of what future urban life should look like. Public interest design (PID), i.e. the application of user-centred design in matters of general interest, is a suitable methodological framework for this objective. It can be applied in practically all domains of public services. The Liveability partnership prepares, pilots and transfers a capacity building programme for public interest design, addressing both the city-wide (leadership level) and civil servants. The project will invite candidate cities to transfer the programme to also be awarded the label of a liveable city.",2023-01-01,2025-12-31,0.0,3280395.23,2624316.18,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Social inclusion and equal opportunities,Institutional cooperation and cooperation networks,,12,2624316.18,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/liveability/,False,C1
