Interfacial Functional Layer,Original Submitted Term,Verdict (DROP / KEEP / REWRITE),WG3-Rewritten / Accepted Term Label,Why this term matters (simple),RSAM Anchor (Trigger → Performance),Contributor (original),Contributor discipline/sector,Contributor(s) of similar/anchor proposal,Humanities & Social Sciences,Technology & Engineering,Port Management & Economics,Planning & Transportation,Source field,Submitted definition (as provided),Submission date/time
Boundary & Translation (Interpretation),Port City Territory,KEEP,Port City Territory,High PCT relevance and boundary/action potential,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Christel Diana Voncken,"Junior Researcher History, Form & Aesthetics",,HSS,,,,Term 5 and description,"Encompassing all of the various spaces affected by maritime traffic, along coastlines or river-sea corridors. It lays the foundations for analysing these territories from a maritime perspective.",26/01/2026 17.12.20
Boundary & Translation (Interpretation),Cold Ironing / Shore Power,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Şakir Mirza,EDUCATION,,HSS,T&E,,,Term 1 and description,,26/01/2026 19.43.46
Boundary & Translation (Interpretation),Green Port / Sustainable Port,REWRITE,Green Port Narrative (contested),Often used as branding; must be treated as contested claim to avoid greenwashing,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Şakir Mirza,EDUCATION,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 2 and description,,26/01/2026 19.43.46
Performance & Design (Action),Energy Hub / Multi,KEEP,Port-Based Energy / Hydrogen Hub,"Port as multi-vector node; high contestation potential (space, risk, jobs, benefits)","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Şakir Mirza,EDUCATION,,HSS,T&E,PM&E,,Term 3 and description,Energy Hub,26/01/2026 19.43.46
Performance & Design (Action),Alternative Marine Fuels,KEEP,Alternative Marine Fuels (port infrastructure implications),Requires new terminals/safety/governance; contested local impacts,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Şakir Mirza,EDUCATION,,HSS,T&E,,P&T,Term 4 and description,,26/01/2026 19.43.46
Governance & Scale Integration (Systemic),Polycentric Governance,REWRITE,Polycentric Governance (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Şakir Mirza,EDUCATION,Colette Szczepaniak,HSS,,,,Term 5 and description,,26/01/2026 19.43.46
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Şakir Mirza,EDUCATION,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Add more terms and their descriptions,City Energy Nexus; Just Energy Transition; Digital Energy Management / Smart Ports,26/01/2026 19.43.46
Boundary & Translation (Interpretation),Inland port,REWRITE,Inland port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Biljana Ristovska-Josifovska,Cultural History,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 1 and description,"the term refers to a port located on land, away from the terminals of seaports. It serves as a point of connection for various traffic types that are part of the distribution of goods from seaports. An inland port is most often used for international logistics and distribution services (freight forwarding, customs services, integrated logistics, information systems, etc.).",26/01/2026 21.32.11
Boundary & Translation (Interpretation),Oil boom is an expression that defines the historical period of the beginnings and flourishing of oil production and transportation.,REWRITE,Oil boom is an expression that defines the historical period of the beginnings and flourishing of oil production and transportation. (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Biljana Ristovska-Josifovska,Cultural History,,HSS,,,P&T,Term 2 and description,,26/01/2026 21.32.11
Boundary & Translation (Interpretation),"A dry port is an inland terminal, connected by road or rail to seaports. Its function is to tranship ocean cargo to inland destinations.",REWRITE,"A dry port is an inland terminal, connected by road or rail to seaports. Its function is to tranship ocean cargo to inland destinations. (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Biljana Ristovska-Josifovska,Cultural History,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 3 and description,,26/01/2026 21.32.11
,"Maritime museum is aimed to collect, preserve and exhibit tangible and intangible maritime culture, and maritime heritage related to the relationship between man and the sea or other types of water. This type of museum promotes education for protection of marine life and advocates the importance of maritime heritage in global relations and sustainability.",DROP,,Weak RSAM/port-city transition anchoring for WG3 core,,Biljana Ristovska-Josifovska,Cultural History,,,,,,Term 4 and description,,26/01/2026 21.32.11
,"Shipbuilding Museum is an institution which collects, preserves and researches objects related to the history of shipbuilding techniques, materials and knowledge, i.e. understanding the historical process of their development.",DROP,,Weak RSAM/port-city transition anchoring for WG3 core,,Biljana Ristovska-Josifovska,Cultural History,,,,,,Term 5 and description,,26/01/2026 21.32.11
,"Energy and Technology Museum is an institution which collects, preserves and presents objects related to the energy history and the industrial heritage. For example, such museum was established in Lithuania, located in the first public power plant of Vilnius that was built on the bank of Neris River, in 1903.",DROP,,Weak RSAM/port-city transition anchoring for WG3 core,,Biljana Ristovska-Josifovska,Cultural History,,,,,,Add more terms and their descriptions,,26/01/2026 21.32.11
Boundary & Translation (Interpretation),Port Energy Transition,REWRITE,Port Energy Transition (PCT-situated),Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 1 and description,"The integrated process through which port cities shift from fossil fuel–based energy systems to low-carbon, renewable, and energy-efficient solutions, encompassing port operations, logistics, industry, transport, and surrounding urban areas.",28/01/2026 20.31.41
Boundary & Translation (Interpretation),Shore,REWRITE,Shore (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Alper Seyhan; Anas Alamoush; Ayşen Edirneligil; Cristina del Pilar Buenaño Mariño; Emrah Cetin; Gintare Stankuniene; Hala J El-Khozondar; Mosè Rossi; Thanasis Hadzilacos; Umur Bucak; Şakir Mirza,HSS,,,,Term 2 and description,"to-Ship Power 
A technology that allows ships to connect to the local electricity grid while at berth, enabling engines to be switched off and significantly reducing greenhouse gas emissions, air pollution, and noise in port cities.",28/01/2026 20.31.41
Boundary & Translation (Interpretation),"Green Port Governance
A multi",REWRITE,Green Port Narrative (contested),Often used as branding; must be treated as contested claim to avoid greenwashing,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 3 and description,"level and multi-stakeholder governance approach involving port authorities, municipalities, national governments, private operators, and local communities to plan, regulate, and implement sustainable energy and climate actions in port territories.",28/01/2026 20.31.41
Performance & Design (Action),"Energy Hubs in Port Cities
Port",KEEP,Port-Based Energy / Hydrogen Hub,"Port as multi-vector node; high contestation potential (space, risk, jobs, benefits)","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",,HSS,T&E,PM&E,,Term 4 and description,"based clusters that integrate renewable energy generation  energy storage, hydrogen production, and distribution infrastructure, positioning ports as key nodes in regional and transnational energy systems.",28/01/2026 20.31.41
Boundary & Translation (Interpretation),"Hydrogen Valleys
Geographically concentrated ecosystems, often anchored in port cities, where hydrogen is produced, stored, distributed, and used across multiple sectors such as shipping, industry, mobility, and power generation.",KEEP,Hydrogen Valleys (port-anchored),"Spatial hydrogen ecosystems linking production, storage, distribution and use","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",,HSS,T&E,,,Term 5 and description,,28/01/2026 20.31.41
Boundary & Translation (Interpretation),Just Energy Transition in Port Cities,REWRITE,Just Energy Transition in Port Cities (PCT-situated),Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Francesca Savoldi,HSS,,,,Add more terms and their descriptions,,28/01/2026 20.31.41
Boundary & Translation (Interpretation),"A framework ensuring that the energy transition in port territories is socially inclusive, addressing employment impacts, skills transformation, health benefits, and equitable distribution of costs and benefits among workers and local communities.Port",REWRITE,"A framework ensuring that the energy transition in port territories is socially inclusive, addressing employment impacts, skills transformation, health benefits, and equitable distribution of costs and benefits among workers and local communities.Port (PCT-situated)",Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Add more terms and their descriptions,City Interface,28/01/2026 20.31.41
Boundary & Translation (Interpretation),"The physical, institutional, and socio",REWRITE,"The physical, institutional, and socio (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Colette Szczepaniak,HSS,,,,Add more terms and their descriptions,"economic interaction zone between port infrastructure and the urban fabric, where energy transition measures must balance industrial efficiency, environmental protection, and urban quality of life.Alternative Marine Fuels",28/01/2026 20.31.41
Boundary & Translation (Interpretation),Low,REWRITE,Low (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",,HSS,,,,Add more terms and their descriptions,"and zero-carbon fuels such as green hydrogen, ammonia, methanol, and biofuels used to decarbonise maritime transport, often requiring new infrastructure and regulatory frameworks in port cities.Energy System Integration",28/01/2026 20.31.41
Performance & Design (Action),"The coordinated planning and operation of electricity, heat, gas, hydrogen, and transport systems within port cities to increase efficiency, flexibility, and the uptake of renewable energy sources.Climate",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Colette Szczepaniak,HSS,,,P&T,Add more terms and their descriptions,Resilient Port Infrastructure,28/01/2026 20.31.41
Performance & Design (Action),Port energy and transport infrastructure designed or retrofitted to withstand climate change impacts such as sea,REWRITE,Port energy and transport infrastructure designed or retrofitted to withstand climate change impacts such as sea (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Dilek Adalı,"Economic Analysis, Sustainability, Digitalization, Industry 4.0",Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,P&T,Add more terms and their descriptions,"level rise, extreme weather events, and flooding, while supporting long-term decarbonisation goals.",28/01/2026 20.31.41
Boundary & Translation (Interpretation),Hydrogen Readiness,REWRITE,Hydrogen Readiness (PCT-situated),Potentially relevant but needs explicit PCT anchoring and RSAM translation,"Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Serdar Enginoğlu,Mathematics,Dilek Adalı,HSS,T&E,,,Term 1 and description,The capacity of infrastructure and institutions to adopt hydrogen-based energy systems.,28/01/2026 21.48.57
Boundary & Translation (Interpretation),Energy,REWRITE,Energy (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Serdar Enginoğlu,Mathematics,Francesca Savoldi,HSS,,,,Term 2 and description,Mobility Nexus: The interdependence between energy systems and transport systems.,28/01/2026 21.48.57
Boundary & Translation (Interpretation),Urban,REWRITE,Urban (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Serdar Enginoğlu,Mathematics,,HSS,,,P&T,Term 3 and description,Port Energy Interface: The interaction zone between urban and port energy systems.,28/01/2026 21.48.57
Boundary & Translation (Interpretation),Living Labs for Energy Transition,REWRITE,Energy Transition in Port–City Territories (PCT-situated),Must be territorialised and conflict-enabled for WG3 use,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Serdar Enginoğlu,Mathematics,,HSS,,,,Term 4 and description,Real-world experimental environments for testing energy transition solutions.,28/01/2026 21.48.57
Boundary & Translation (Interpretation),Stranded Assets,REWRITE,Stranded Assets (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Serdar Enginoğlu,Mathematics,,HSS,,,,Term 5 and description,Energy-related assets at risk of losing economic value due to decarbonization.,28/01/2026 21.48.57
Boundary & Translation (Interpretation),Resilient Energy Systems,REWRITE,Resilient Energy Systems (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Serdar Enginoğlu,Mathematics,Francesca Savoldi,HSS,,,,Add more terms and their descriptions,Energy systems capable of withstanding and adapting to disruptions.,28/01/2026 21.48.57
Boundary & Translation (Interpretation),Dredged sediment,REWRITE,Dredged sediment (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ahmed BENAMAR,Civil and Geenvironmental engineering,,HSS,,,,Term 1 and description,,29/01/2026 11.42.12
Boundary & Translation (Interpretation),Remediation,REWRITE,Remediation (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ahmed BENAMAR,Civil and Geenvironmental engineering,,HSS,,,,Term 2 and description,,29/01/2026 11.42.12
Boundary & Translation (Interpretation),Supsension flow and settling,REWRITE,Supsension flow and settling (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ahmed BENAMAR,Civil and Geenvironmental engineering,,HSS,,,,Term 3 and description,,29/01/2026 11.42.12
Boundary & Translation (Interpretation),rheological behavior of sediment suspension,REWRITE,rheological behavior of sediment suspension (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ahmed BENAMAR,Civil and Geenvironmental engineering,,HSS,,,,Term 4 and description,,29/01/2026 11.42.12
Boundary & Translation (Interpretation),Beneficial reuse of dredged sediment,REWRITE,Beneficial reuse of dredged sediment (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ahmed BENAMAR,Civil and Geenvironmental engineering,,HSS,,,,Term 5 and description,circular economy,29/01/2026 11.42.12
Trigger & Baseline (Sensing),characterization of the nautical depth using acoustics,REWRITE,characterization of the nautical depth using acoustics (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ahmed BENAMAR,Civil and Geenvironmental engineering,Colette Szczepaniak,HSS,,,,Add more terms and their descriptions,,29/01/2026 11.42.12
Boundary & Translation (Interpretation),Energy Justice,REWRITE,Energy Justice at the Port–City Interface,Distributes costs/benefits/risk; central to inclusiveness disputes,Trigger: unequal exposure → Translation: fairness claim → Performance: redesign/compensation/governance reform,Francesca Savoldi,Human geography / political ecology,Francesca Savoldi,HSS,,,P&T,Term 1 and description,"the fair distribution of energy benefits and burdens, including who gains from port decarbonisation projects and who bears the social, environmental, and economic costs (e.g., local communities, marginalized neighborhoods, etc).",29/01/2026 12.20.45
Boundary & Translation (Interpretation),Metabolic Flows,REWRITE,Metabolic Flows (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Francesca Savoldi,Human geography / political ecology,,HSS,,,,Term 2 and description,"the circulation of energy, materials, capital, and waste through port territories, emphasizing how energy transition transforms global–local resource flows and urban metabolism.",29/01/2026 12.20.45
Boundary & Translation (Interpretation),Infrastructural Power,REWRITE,Infrastructural Power (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Francesca Savoldi,Human geography / political ecology,Alper Seyhan; Anas Alamoush; Ayşen Edirneligil; Cristina del Pilar Buenaño Mariño; Emrah Cetin; Gintare Stankuniene; Hala J El-Khozondar; Mosè Rossi; Thanasis Hadzilacos; Umur Bucak; Şakir Mirza,HSS,,,,Term 3 and description,"ways in which energy transition and the related reconfiguration of  transport infrastructures shape power relationship, economic power, and spatial inequality, particularly through control of port terminals, grids, pipelines, and renewable energy hubs.",29/01/2026 12.20.45
Boundary & Translation (Interpretation),Clean Fuels,REWRITE,Clean Fuel Claims vs Lifecycle Reality,"Disputes over definitions, accounting and responsibilities",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Francesca Savoldi,Human geography / political ecology,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 4 and description,"energy sources that produce zero greenhouse gas emissions along their whole supply chain,  reducing air pollutants during production and use, supporting decarbonisation and improved environmental and public health outcomes.",29/01/2026 12.20.45
Governance & Scale Integration (Systemic),Energy Citizenship,KEEP,Energy Citizenship in Port–City Territories,"Links participation, legitimacy and everyday practices to transition governance",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Francesca Savoldi,Human geography / political ecology,,HSS,,,,Term 5 and description,"the active role of residents, workers, and local communities in shaping energy transitions through participation, collective action, governance, and everyday practices, rather than being passive consumers.",29/01/2026 12.20.45
,Storage,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Burak BAL,Academia,,,,,,Term 1 and description,,29/01/2026 21.55.57
Boundary & Translation (Interpretation),Transfer,REWRITE,Transfer (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Burak BAL,Academia,,HSS,,,,Term 2 and description,,29/01/2026 21.55.57
Boundary & Translation (Interpretation),Efficiency,REWRITE,Efficiency (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Burak BAL,Academia,,HSS,,,,Term 3 and description,,29/01/2026 21.55.57
,Cost,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Burak BAL,Academia,,,,,,Term 4 and description,,29/01/2026 21.55.57
,Degredation,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Burak BAL,Academia,,,,,,Term 5 and description,,29/01/2026 21.55.57
Boundary & Translation (Interpretation),Multi,REWRITE,Multi (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ioannis Katsounis,Blue Economy,,HSS,,,,Term 1 and description,"level Governance: Decision-making distributed across local, metropolitan, national, and international levels (including maritime bodies and trade regimes). Port energy transitions depend on this layering because many key levers (fuel standards, shipping regulation, grid investment, industrial permitting) sit at different scales.",30/01/2026 3.07.45
Boundary & Translation (Interpretation),Social License to Operate (SLO),KEEP,Social License to Operate (SLO) in Port–City Territories,Boundary concept for legitimacy conflicts around port energy projects,Trigger: nuisance/health cues → Translation: legitimacy dispute → Performance: engagement + benefit-sharing + mitigation,Ioannis Katsounis,Blue Economy,,HSS,,PM&E,,Term 2 and description,"The informal acceptance granted by communities and stakeholders to major port/energy projects (fuel terminals, grid upgrades, dredging). Even with legal permits, projects may stall without trust, transparency, and credible benefit-sharing, especially in historically burdened neighborhoods.",30/01/2026 3.07.45
Boundary & Translation (Interpretation),Carbon Lock,REWRITE,Carbon Lock (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ioannis Katsounis,Blue Economy,,HSS,,,,Term 3 and description,"in: A situation where long-lived assets, such as terminals, pipelines, refineries, or port access roads, commit a territory to high-emission pathways because they are costly to replace and create political and economic dependence. In ports, lock-in can occur when new fossil-fuel-supporting infrastructure is expanded based on assumptions of decades-long demand.",30/01/2026 3.07.45
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ioannis Katsounis,Blue Economy,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 4 and description,"City Interface: The physical and institutional boundary zone where port functions and urban life meet. It includes shared spaces (waterfronts, access corridors), overlapping jurisdictions, and competing priorities (jobs and trade vs. housing, health, and public space). The interface often becomes the key arena for negotiating transition projects (e.g., shore power, new fuel terminals).",30/01/2026 3.07.45
Performance & Design (Action),Shipping Green Corridors,REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ioannis Katsounis,Blue Economy,,HSS,,,P&T,Term 5 and description,"Designated maritime routes where stakeholders (ports, carriers, cargo owners, regulators) coordinate to deploy low/zero-carbon fuels and technologies at scale. For port territories, corridors can accelerate infrastructure investment and policy alignment but may also concentrate benefits in “hub” ports and exclude smaller ones.",30/01/2026 3.07.45
Boundary & Translation (Interpretation),Just Transition,REWRITE,Energy Justice at the Port–City Interface,Distributes costs/benefits/risk; central to inclusiveness disputes,Trigger: unequal exposure → Translation: fairness claim → Performance: redesign/compensation/governance reform,Ayşen Edirneligil,Economics / Academician,Colette Szczepaniak,HSS,,,P&T,Term 1 and description,"A policy and governance approach that ensures the shift to low-carbon port operations is socially fair, protecting workers, communities, and vulnerable groups from disproportionate economic and employment losses.",30/01/2026 9.39.55
Boundary & Translation (Interpretation),Energy Justice,REWRITE,Energy Justice at the Port–City Interface,Distributes costs/benefits/risk; central to inclusiveness disputes,Trigger: unequal exposure → Translation: fairness claim → Performance: redesign/compensation/governance reform,Ayşen Edirneligil,Economics / Academician,Francesca Savoldi,HSS,,,P&T,Term 2 and description,"A framework focusing on fair distribution of energy benefits and burdens, including access, affordability, health outcomes, and environmental impacts—especially for communities living near port-industrial zones.",30/01/2026 9.39.55
Boundary & Translation (Interpretation),"Port Electrification / Shore Power (Cold Ironing)
The deployment of electricity",KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Ayşen Edirneligil,Economics / Academician,,HSS,T&E,,,Term 3 and description,"based infrastructure that allows vessels to switch off auxiliary engines at berth and use onshore electricity, reducing local air pollution, noise, and greenhouse gas emissions.",30/01/2026 9.39.55
Performance & Design (Action),"Green Shipping Corridors
Strategic maritime routes where ports, shipping companies, and regulators coordinate to implement low",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ayşen Edirneligil,Economics / Academician,,HSS,,,P&T,Term 4 and description,"or zero-emission fuels and technologies, supported by harmonized standards, infrastructure, and investment.",30/01/2026 9.39.55
Boundary & Translation (Interpretation),"Behavioral Spillovers
The phenomenon where one pro",REWRITE,"Behavioral Spillovers
The phenomenon where one pro (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ayşen Edirneligil,Economics / Academician,,HSS,,,,Term 5 and description,"environmental action (e.g., adopting clean port practices) leads to additional sustainable behaviors, or conversely triggers negative spillovers such as “moral licensing.”",30/01/2026 9.39.55
Boundary & Translation (Interpretation),Demand,REWRITE,Demand (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ayşen Edirneligil,Economics / Academician,,HSS,,,,Add more terms and their descriptions,Side Management (DSM),30/01/2026 9.39.55
Boundary & Translation (Interpretation),"Strategies to influence when, how, and how much energy is consumed in port",REWRITE,"Strategies to influence when, how, and how much energy is consumed in port (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ayşen Edirneligil,Economics / Academician,Francesca Savoldi,HSS,,,,Add more terms and their descriptions,"city systems (e.g., flexible electricity demand, peak reduction, smart scheduling), improving efficiency and grid stability.Nudging for Decarbonization",30/01/2026 9.39.55
Boundary & Translation (Interpretation),Behaviorally informed interventions that shape choices through non,REWRITE,Behaviorally informed interventions that shape choices through non (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ayşen Edirneligil,Economics / Academician,,HSS,,,,Add more terms and their descriptions,"coercive design features (defaults, feedback, labeling, social norms) to encourage lower-emission decisions among port users and firms.",30/01/2026 9.39.55
Performance & Design (Action),"Bunkering transition which is defined as the shift from fossil fuel supply chains (e.g., heavy fuel oil) to new fuels and associated storage/handling systems.",REWRITE,"Bunkering transition which is defined as the shift from fossil fuel supply chains (e.g., heavy fuel oil) to new fuels and associated storage/handling systems. (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,Colette Szczepaniak,HSS,T&E,,,Term 1 and description,,30/01/2026 10.45.10
Performance & Design (Action),"Hydrogen hub (production/import/distribution cluster), which may be defined as a coordinated system for producing (electrolysis), importing, storing, and distributing hydrogen and derivatives (ammonia, methanol).",KEEP,Port-Based Energy / Hydrogen Hub,"Port as multi-vector node; high contestation potential (space, risk, jobs, benefits)","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Renata Costa,Research,,HSS,T&E,PM&E,,Term 2 and description,,30/01/2026 10.45.10
Performance & Design (Action),"Carbon Capture, Utilization and Storage (CCUS) defined in the literature as being the capturing CO2 from industrial sources, using it in products/processes, and/or transporting it for geological storage.",REWRITE,"Carbon Capture, Utilization and Storage (CCUS) defined in the literature as being the capturing CO2 from industrial sources, using it in products/processes, and/or transporting it for geological storage. (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,,HSS,T&E,,P&T,Term 3 and description,,30/01/2026 10.45.10
Boundary & Translation (Interpretation),"Just transition (port perspective) to ensure that decarbonization protects livelihoods, health, and opportunities for port workers and neighboring communities.",REWRITE,Energy Justice at the Port–City Interface,Distributes costs/benefits/risk; central to inclusiveness disputes,Trigger: unequal exposure → Translation: fairness claim → Performance: redesign/compensation/governance reform,Renata Costa,Research,Colette Szczepaniak,HSS,,,P&T,Term 4 and description,,30/01/2026 10.45.10
