"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Of other seas: metaphors and materialities in maritime regions","https://scispace.com/paper/of-other-seas-metaphors-and-materialities-in-maritime-40c2i76w86","2013","Journal Article","Atlantic Studies","Philip E. Steinberg","10.1080/14788810.2013.785192","","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses posthuman theory and fluid dynamics to treat the ocean as active material; frames maritime region sociologically and links materiality with social processes, but omits governance, community case studies, and urban connections, limiting full integration.","Even as ocean-region-based studies gain popularity, they all too often fail to engage the aqueous center that lies at the heart of every maritime community. Studies that seek to highlight political–economic connections across ocean basins tend to ignore the sea altogether, while those that highlight it as a site for challenging modernist notions of identity and subjectivity tend to treat the ocean solely as a metaphor. In contrast, this article argues that in order for ocean-region-based studies to reach their potential, the ocean must be engaged as a material space characterized by movement and continual reformation across all of its dimensions. Drawing on a range of theories, from conceptualizations of more-than-human assemblages to the oceanographic modeling techniques of Lagrangian fluid dynamics, this article proposes a perspective that highlights the liquidity of the ocean, so that the sea is seen not just as a space that facilitates movement between a region's nodes but as one that, throug..."
"A maritime turn and ocean ontologies in critical heritage studies","https://scispace.com/paper/a-maritime-turn-and-ocean-ontologies-in-critical-heritage-q9rtg442z4","2023","Journal Article","International Journal of Heritage Studies","Tim Winter","10.1080/13527258.2023.2284736","","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses ocean ontologies to treat the sea as active agent; analyses governance politics; links heritage theory to maritime imagination, but lacks concrete community focus, urban ties, and full integration of all blue‑sociology elements.","ABSTRACT This paper calls for a maritime turn in critical heritage theory. Drawing on recent work on ocean and maritime ontologies, it takes up the idea of the ‘ocean in excess’ to argue for a maritime imagination that overcomes the separation of land from water, culture from nature. The paper begins by sketching out the terracentric norms that have come to underpin critical theory around cultural heritage. From there, recent insights on ocean ontologies are cited to show how they can open up new ways of thinking about existing strands of critical heritage work. The second half of the paper turns to the issue of ocean governance and the complex politics that arise from competing ontologies. This provides the foundation for a discussion of the transoceanic heritage discourses that are now emerging, as countries seek regional, come global influence in world affairs. Understanding these and other developments requires moving beyond the earthly, such that we more robustly engage with a multivalent heritage politics that operates across air, water and land."
"Identità marittima e rigenerazione urbana per lo sviluppo sostenibile delle città di mare","https://scispace.com/paper/identita-marittima-e-rigenerazione-urbana-per-lo-sviluppo-4wnl2in8h5","2013","","","Massimo Clemente","10.6092/2284-4732/2459","https://scispace.com/pdf/identita-marittima-e-rigenerazione-urbana-per-lo-sviluppo-4wnl2in8h5.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses multidisciplinary methodology to link maritime cultural identity with urban regeneration in Italian port cities, foregrounds coastal communities and planning, but lacks explicit posthuman, hydrosocial, and fully integrated theoretical framework.","Le citta di mare sono state oggetto di studi e approfondimenti durante gli ultimi cinquanta anni, anche se molto spesso con riferimento limitato al recupero delle aree portuali dismesse e alla riqualificazione dei waterfront urbani. Il gruppo di ricerca Citta e Architettura del Consiglio Nazionale delle Ricerche, dal2009, ha sviluppato un percorso di ricerca fondato su un diverso approccio al tema: guardare le citta “dal mare” per rinnovare culturalmente e metodologicamente la pianificazione e la progettazione urbana nelle aree urbane costiere. La visione marittima ha permesso una rivisitazione dei processi di recupero del waterfront. L’obiettivo e definire metodologie e strategie innovative per valorizzare l’identita marittima come strumento chiave per la rigenerazione urbana sostenibile della citta di mare."
"Living in relationship with the Ocean to transform governance in the UN Ocean Decade","https://scispace.com/paper/living-in-relationship-with-the-ocean-to-transform-njdnt1kl","2022","Journal Article","PLOS Biology","Michelle Bender
R. Suárez Bustamante
Kelsey Leonard","10.1371/journal.pbio.3001828","https://scispace.com/pdf/living-in-relationship-with-the-ocean-to-transform-njdnt1kl.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Earth law to propose ocean‑centered governance, treats the ocean as an active agent, and links to UN Ocean Decade goals, but lacks concrete community case studies, urban focus, and explicit hydrosocial terminology.","Humanity’s relationship with the Ocean needs to be transformed to effectively address the multitude of governance crises facing the Ocean, including overfishing, climate change, pollution, and habitat destruction. Earth law, including Rights of Nature, provides a pathway to center humanity as a part of Nature and transform our relationship from one of dominion and separateness towards holism and mutual enhancement. Within the Earth law framework, an Ocean-centered approach views humanity as interconnected with the Ocean, recognizes societies’ collective duty and reciprocal responsibility to protect and conserve the Ocean, and puts aside short-term gain to respect and protect future generations of all life and the Ocean’s capacity to regenerate and sustain natural cycles. This Essay presents Ocean-centered governance as an approach to help achieve the 10 challenges for collective impact put forward as part of the UN Decade of Ocean Science for Sustainable Development and therefore living in a harmonious relationship with the Ocean."
"Commentary 3 to the manifesto for the marine social sciences: unfolding Blue Growth","https://scispace.com/paper/commentary-3-to-the-manifesto-for-the-marine-social-sciences-32wpwmnuyz","2020","Journal Article","Maritime Studies","Maaike Knol-Kauffman
Peter Arbo","10.1007/S40152-020-00183-1","https://scispace.com/pdf/commentary-3-to-the-manifesto-for-the-marine-social-sciences-32wpwmnuyz.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses sociological framing to map Blue Growth research agenda, emphasizes governance, EBM, MSP, and sectoral dynamics; touches on coastal societies and water‑society co‑production, but lacks posthuman theory, urban focus, and fully integrated analytical framework.",""
"An Ocean of Troubles: Advancing Marine Sociology","https://scispace.com/paper/an-ocean-of-troubles-advancing-marine-sociology-4kt5d85ljn","2016","Journal Article","Social Problems","Stefano B. Longo
Brett Clark","10.1093/SOCPRO/SPW023","","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses marine sociology to link human societies and ocean systems, treats oceans as active agents, mentions socioeconomic impacts on marine ecosystems, applies social metabolic analysis, but lacks governance focus, specific coastal community case studies, urban connections, and a fully integrated theoretical framework.","We advance marine sociology to analyze the human dimensions of ocean systems. Human societies are fundamentally linked to marine systems and are transforming oceanic conditions in dramatic ways, resulting in socio-ecological problems. Despite the great and important possibilities in this realm, these relationships are seldom studied within sociology. This article highlights the ecological foundations of human societies, emphasizing interactions with marine systems, and presents marine sociology as a valuable expansion of environmental sociological studies. This approach seeks to better integrate sociological and ecological sciences. We propose that social metabolic analysis serves as one useful theoretical framework for examining the socio-ecological interrelationships. The analysis focuses on the dynamics of ocean systems, social processes that are changing marine ecosystems, and the perennial interactions within and between these systems. We provide brief analyses of climate change, ocean acidification, and pollution, revealing how the modern socioeconomic order has created ecological rifts in marine ecosystems, and how these concerns reciprocally affect social life."
"Uma Agenda de Investigação nas Humanidades Azuis: Exploração dos Ambientes Aquáticos e os 4 Oceanos em Épocas Pré-Industrialização","https://scispace.com/paper/uma-agenda-de-investigacao-nas-humanidades-azuis-exploracao-30xfgymb","2022","Journal Article","Historia Ambiental  Latinoamericana y Caribeña","Cristina de Jesus Brito","10.32991/2237-2717.2022v12i2.p459-474","https://scispace.com/pdf/uma-agenda-de-investigacao-nas-humanidades-azuis-exploracao-30xfgymb.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses posthuman framing to view humans and manatees as co‑constructors; offers historical case of Atlantic societies; integrates humanities, ecology, and interdisciplinary project, but lacks governance, urban, and explicit hydrosocial analysis.","Como podemos contar uma história humana num mundo mais-do-que-humano? Como se percebem as influências e consequências para pessoas e sociedades do mundo natural e físico que as envolve e do qual dependem para sobreviver, sem esquecer os vários agenciamentos envolvidos e interligados? E como o fazemos no mundo líquido, fluído, azul e profundo dos oceanos e águas costeiras do planeta? A problemática é histórica, mas reflete-se também na atualidade e futuro das sociedades humanas e sua relação e dependência dos ecossistemas e recursos dos mares e oceanos. Nesta nota científica  abordo o valor das humanidades para o conhecimento histórico dos oceanos e o seu contributo para aumentar a literacia para os oceanos. Uso o caso de estudo da história natural e exploração de manatins com vista a perceber áreas de distribuição no passado e apresento o projeto interdisciplinar e colaborativo ‘4-Oceans’ e sua agenda de investigação. Para tal, revejo brevemente a história ambiental de manatins e pessoas no Atlântico da época moderna e refiro-me à importância de considerar os seres humanos como agentes ecológicos e outras espécies animais como co-construtores das narrativas históricas."
"“Mother of the Oceans”: Maritime Governance as a Template for a New Global Order in the International Thought of Elisabeth Mann Borgese (1918–2002)","https://scispace.com/paper/mother-of-the-oceans-maritime-governance-as-a-template-for-a-2isa0inx","2023","Journal Article","Global studies quarterly","Lucian M. Ashworth","10.1093/isagsq/ksad010","","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses Borgese's maritime governance theory to propose a new global order, treats the ocean as an active agent, but lacks sociological focus on sea communities, hydrosocial analysis, or urban linkages.","
 This article explores the international thought of Elisabeth Mann Borgese (1918–2002), a major figure in the third United Nations Conference on the Law of the Sea negotiations and (later in her life) a professor at Dalhousie University. Borgese's analysis of the nature of the Ocean led her to see the emerging system of maritime governance as a template for wider global governance. The fluidity of the Ocean, she argued, blurred terrestrial certainties, while the fundamental interdependence of its ecosystems means that its governance offers a new paradigm that can inform terrestrial governance. The Ocean has always been important, she argued, but that importance is now increasing. Thus, in Borgese's work, the Ocean emerges as more than a passive victim of human exploitation, and becomes a positive influence on humanity's future. Taking her work seriously helps international relations (IR) confront its own failure to engage with global physical realities and would be another step toward rewriting an IR for the Anthropocene."
"Coastal Communities, Leisure and Wellbeing: Advancing a Trans-Disciplinary Agenda for Understanding Ocean-Human Relationships in Aotearoa New Zealand.","https://scispace.com/paper/coastal-communities-leisure-and-wellbeing-advancing-a-trans-4udggpab1b","2021","Journal Article","International Journal of Environmental Research and Public Health","Belinda Wheaton
Jordan Waiti
Rebecca Olive
Robin Kearns","10.3390/IJERPH18020450","https://www.mdpi.com/1660-4601/18/2/450/pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses surfing‑based case study to link wellbeing, Indigenous knowledge, and coastal place, offering strong community focus but limited governance, urban, and explicit hydrosocial framing.","Commentators are advocating for research to better understand relationships between healthy coastal ecosystems and human wellbeing. Doing so requires inter- and transdisciplinary approaches across humanities, arts, social sciences, and science and technology disciplines. These approaches include culturally diverse knowledge systems, such as indigenous ones, that locate sustainable use of and relationships to marine ecosystems. This paper contributes to this agenda through a case-study of relationships between coastal ecosystems and human wellbeing in Aotearoa New Zealand. This article highlights interconnected cultural and wellbeing benefits of, and socio-ecological relationships between, these coastal ecosystems drawing on a case study of one ocean-based, ‘immersive’ leisure activity, surfing. Further, it examines how these relationships impact human physical, emotional and spiritual wellbeing, and the wellbeing of communities and ecosystems. The research illustrates that surfing creates strong bonds between practitioners and coastal places, linking the health of marine environments and people. We demonstrate the value of a transdisciplinary place-based approach that integrates research across the humanities and social sciences and engages with Indigenous knowledge (Mātauranga Māori). This argument for multicultural co-learning shows the value of Western and Māori vantage points for how we understand coastal blue spaces. Indigenous perspectives, we conclude, deepen appreciation, as well as equity considerations, of how we understand place, wellbeing, and long-term sustainable relationships with marine ecosystems."
"Marine Social Science for the Peopled Seas","https://scispace.com/paper/marine-social-science-for-the-peopled-seas-2hjwqxjpz0","2019","Journal Article","Coastal Management","Nathan J. Bennett","10.1080/08920753.2019.1564958","https://scispace.com/pdf/marine-social-science-for-the-peopled-seas-2hjwqxjpz0.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses marine social science to link sociological insight, governance, and community contexts, but lacks posthuman, hydrosocial, and urban dimensions; partial integration of themes.","Coastal communities, indigenous peoples, and small-scale fishers rely on the ocean for livelihoods, for subsistence, for wellbeing and for cultural continuity. Thus, understanding the human dimensi..."
"Corals, Geo-Sociality, and Anthropocene Dwelling","https://scispace.com/paper/60RgXqXCqroJ","","","","J Westgate","","https://exchanges.warwick.ac.uk/index.php/exchanges/article/download/979/1044","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses coral assemblages to illustrate more‑than‑human agency and co‑production of oceanic and social worlds; links these ideas loosely to blue sociology but lacks governance, community, or urban analysis.",""
"Overdetermined by Territory? Governing the Ocean in Time, Matter, and Rhythm","https://scispace.com/paper/overdetermined-by-territory-governing-the-ocean-in-time-8xosue66sgvz","2025","Journal Article","","Christopher McAteer","10.1007/978-3-031-71322-4_2","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses posthuman framing to treat ocean as active agent and critiques territorial governance, but lacks explicit blue sociology, community focus, urban links, and full hydrosocial terminology.","Abstract This chapter asks whether thinking about space goes far enough in comprehending the ocean, arguing that scholars must engage more with materiality and temporality to discover new forms of ocean governance. Noting the important scholarly work that has moved beyond a planar, or areal, conceptualisation of the ocean, the chapter draws on recent scholarship to critically assess volumetric theorisations that do not sufficiently account for the fluidity of matter within the ocean. It contends that scholars must think through the complex materiality of the ocean by conceptualising the highly mobile stuff within it as being an inherent part of ocean space itself. It then argues that to think about the materiality of the ocean and how it moves and flows, one must engage with temporality, helping one to move beyond both two-dimensional thinking and three-dimensional volumetrics towards an understanding of the ocean as processual and something that happens in time. Surveying recent literature on relational approaches to space, the chapter argues that the future of ocean governance must be multiple, complex, and messy, rather than overdetermined by a political logic of territory that reifies state borders as a byproduct of its legal mechanisms. "
"Turbulent Waters in Three Parts","https://scispace.com/paper/turbulent-waters-in-three-parts-4ojye4chji","2021","Journal Article","Theory and Event","Jessica Lehman
Philip E. Steinberg
Elizabeth R. Johnson","10.1353/TAE.2021.0007","https://scispace.com/pdf/turbulent-waters-in-three-parts-4ojye4chji.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses posthuman framing and governance critique to explore oceanic turbulence, but lacks sociological focus on sea communities, urban links, and full hydrosocial integration.","While scientific accounts of ocean dynamics draw public attention to the turbulence of earthly matter, the science alone tells a truncated story. The ocean's turbulent materiality is more than material: practices of scientific knowledge and historically embedded meanings and metaphors also constitute how we know, understand, and attempt to govern ocean and land alike. Indeed, planetary ocean science is always located within a history and politics, embedded within Western epistemic structures and tied to extraction and colonialism. Additionally, as ocean ecologies and human food systems are recognized as ever more fragile and as the ocean increasingly is understood as ""up for grabs"" as a site of investment, extraction, and production, there is much at stake in how and where we locate the turbulence of marine systems.

In this essay, we invite turbulence into our writing practices by bringing together three perspectives on the complex relationship between metaphor and materiality with regard to oceanic worlds. Each co-author writes on the ocean from a different perspective: the lines and laws of the ocean (Steinberg); the governance and epistemic cultures of ocean life (Johnson); and practices of marine historical knowledge production (Lehman). Throughout this essay we experiment with bringing those perspectives together to consider how turbulence matters differently when read through different lineages of theory and ocean scholarship: How do legal infrastructures, scientific apparatuses, human histories, and marine lifeforms tell different stories of the ocean and its processes? We further consider how thinking across our different projects might bring to light not only the turbulence of ocean matter, but also practices of knowledge production and meaning as we envision various futures of and with the ocean."
"Shores, Surfaces and Depths","https://scispace.com/paper/shores-surfaces-and-depths-5bfuxc1e3k4o","2024","Journal Article","","Felicity Picken
Emma Waterton","10.4324/9781003248231","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses blue sociology and posthuman theory to map the oceanic turn; touches hydrosocial ideas but lacks governance, community case studies, urban links, and full integrative framework.",""
"Défis scientifiques et sociaux de l'anthropologie maritime","https://scispace.com/paper/defis-scientifiques-et-sociaux-de-l-anthropologie-maritime-2ip6ptw9gi","2018","Journal Article","","Nastassia Reyes
Clément Garineaud
Frédérique Chlous","10.4000/ETHNOECOLOGIE.3485","https://scispace.com/pdf/defis-scientifiques-et-sociaux-de-l-anthropologie-maritime-2ip6ptw9gi.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses maritime anthropology to discuss governance and community issues, but lacks explicit posthuman, hydrosocial, or blue‑urbanism framing; integrates some elements without a unified analytical model.","Dans le debat public, les enjeux sur l’environnement se font plus presents et le milieu maritime n’echappe pas a cet emballement. Les problematiques liees aux pollutions marines, aux especes menacees, a la construction des territoires, a l’augmentation des usages de loisirs, aux politiques de conservation, aux droits d’acces aux ressources et aux biens communs, etc. tiennent une place de plus en plus centrale dans les debats societaux et sur les agendas politiques. Plus largement, ces questio..."
"Socio-oceanography: an opportunity to integrate marine social and natural sciences","https://scispace.com/paper/socio-oceanography-an-opportunity-to-integrate-marine-social-49fj55ca0s","2023","Journal Article","Frontiers in Marine Science","Ekaterina Popova
Yevgeny Aksenov
Laurent O. Amoudry
Amani Becker
Lucy Bricheno
Jennifer M. Brown
Michael A. Clare
Alan Evans
Claire Evans
Sara E. Fowell
Svetlana Jevrejeva
Zoe Jacobs
Daniel B. Jones
Angela Hibbert
Fran O’Hara
Emma McKinley
Marta Payo-Payo
Christopher R. Pearce
Sarah F. W. Taylor
C. Sams
Andrew Yool","10.3389/fmars.2023.1209356","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Proposes Socio‑oceanography to merge natural and social sciences, touching on governance and community aspects, but lacks explicit posthuman theory, urban focus, and deep sociological framing.","Marine natural sciences have been instrumental in helping society understand how ocean systems operate and the threats they face. However, there is a growing realisation that the societal challenges related to the marine environment can only be addressed through more effective integration with all aspects of social sciences. Nevertheless, to date, social sciences remain insufficiently integrated into marine research. Recognising historical weaknesses and drawing on the authors’ own experience of interdisciplinary research, albeit writing primarily from a natural marine science perspective, we propose a series of steps to promote integrated marine research inclusive of strong social science. We suggest that changing the perspectives and attitudes of natural scientists is key. The inherent interconnectivity between the ocean and society ensures that nearly everything we do in the marine natural sciences has the potential to influence and, perhaps address, ongoing and future societal challenges. Consequently, a key challenge for natural scientists is to recognise and communicate this in an accessible manner outside their own disciplines. To attempt to address these issues, we introduce the concept of “Socio-oceanography” which we define as an area of research that takes a “whole system” approach to the marine environment. It focuses on the challenges which require advancement of both natural and social science components, especially on those where the feedbacks between social and natural components are beginning to emerge. Here, we discuss its scope, challenges to its effective application and key steps to catalyse interdisciplinary approaches using this concept. "
"Blue paradigms: understanding the intellectual revolution in global ocean politics","https://scispace.com/paper/blue-paradigms-understanding-the-intellectual-revolution-in-5ji2d9cf","2023","Journal Article","International Affairs","Christian Bueger
Felix Mallin","10.1093/ia/iiad124","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Maps four blue paradigms to policy and practice, analyzes governance tensions, mentions communities of practice, but lacks posthuman, hydrosocial, urban, and fully integrated sociological framing.","
 The oceans have received extraordinary international attention in global policy and research. New insecurities and uncertainties, ranging from intensifying interstate disputes to persistent piracy and overfishing as well as to pollution, deoxygenation and climate change imply that the oceans are increasingly seen as being in crisis. This revolution in thinking about and addressing the oceans is driven by new ideas of why the oceans need political attention and care. In this article we demonstrate how four key new ‘blue paradigms’—maritime security, blue economy, ocean health and blue justice—have evolved and turned the oceans into a new area of priority. Each of these paradigms drives global ocean politics in different directions, which implies risks of fragmentation and conflicts. We work out the key differences between paradigms, investigating their underlying problematization, priorities and communities of practices involved. This provides a new map for navigating the complexity of global ocean politics useful for policy-makers and scholars. Thinking through paradigms also establishes a new analytical framework that allows for identifying conflicting priorities, tensions between ocean communities of practice, and ideas of how these can be managed. We conclude with a call for creative thinking of how synergies between the blue paradigms can be achieved in strategy, planning and research."
"Addressing Challenges and Seizing Opportunities for Ocean Social Sciences","https://scispace.com/paper/addressing-challenges-and-seizing-opportunities-for-ocean-wmxbd4d2tg82","2025","Journal Article","","Ryan O’Connor
Ana K. Spalding
Emma McKinley","10.5194/oos2025-362","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses governance frameworks and community‑based conservation to link social science with marine policy, but lacks explicit blue sociology, posthuman, hydrosocial, or urban dimensions.","As ocean conditions rapidly transform, understanding human-ocean relationships becomes increasingly critical for effective marine conservation and governance. Despite growing recognition of ocean social sciences' importance in supporting evidence-based policy and management, significant barriers persist in fully integrating these approaches into mainstream ocean science. This presentation synthesizes findings from a recent focus group that examined the current state of ocean social science research and the challenges limiting its integration within broader ocean conservation efforts. We highlight emerging ""bright spots"" where social science methodologies have successfully enhanced our understanding of human-ocean interactions, particularly in areas of traditional ecological knowledge and community-based conservation. However, our analysis reveals persistent institutional and methodological challenges, including limited funding mechanisms, disciplinary silos, and difficulties in translating social science insights into conservation practice. Drawing from collaborative discussions with international practitioners, we present newly identified pathways for advancing integration, including: (1) developing standardized frameworks for incorporating social science metrics into conservation planning, (2) establishing cross-disciplinary training programs, and (3) creating institutional mechanisms that facilitate knowledge co-production between social and natural scientists. These solutions represent critical steps toward a more holistic approach to ocean stewardship that bridges multiple knowledge systems and supports inclusive, effective marine conservation strategies. "
"Promoting Blue Resilience: Knowledge Systems Integration, Maritime Heritage, and Culture-based Climate Action in Coastal Communities","https://scispace.com/paper/promoting-blue-resilience-knowledge-systems-integration-vr183rhgr5c1","2025","Journal Article","","Marisa O. Ensor","10.5194/oos2025-16","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses ILK and maritime heritage to co‑produce climate adaptation, foregrounds coastal communities, mentions marine spatial planning, but lacks posthuman theory, hydrosocial framing, and urban linkages.","The significant role that Indigenous and local knowledge (ILK) and cultural maritime heritage (CMH) can play in coastal communities’ adaptation to climate change and ocean governance has received increased attention in recent years. ILK often encompasses a sophisticated understanding of the marine and coastal environment, its ecosystems, the impact of human activity, and the cultural significance associated with specific landscapes and seascapes. Based on this understanding, ILK holders have developed sustainable ways of managing marine and coastal resources and spaces, which have proven to be effective in safeguarding the ecological balance of their traditional land-ocean interfaces while adapting to a changing climate. Similarly, both tangible and intangible maritime heritage frame human interaction with coastal and marine environments and represent an invaluable resource to help coastal communities strengthen their adaptive capacity and inform their role as wise stewards of our ocean planet. Recognizing and incorporating ILK and CMH into marine spatial planning and climate adaptation can thus significantly enhance their effectiveness and ensure a balance between climate action, conservation goals, economic activities, and cultural preservation for a resilient ocean. Nevertheless, despite increasing interest in knowledge integration for ocean governance and coastal climate adaptation, efforts to do so remain fragmented and insufficient in practice. Power imbalances may perpetuate dominant forms of knowledge over others and obstruct efforts at knowledge co-production. Drawing on cross-disciplinary field research on coastal communities across the world, this presentation offers co-generated insights regarding knowledge systems integration into climate adaptation strategies that can protect coastal communities against increasing climate-driven risks while preserving their marine ecosystems and their natural and cultural heritage. I advocate a social learning (SL) approach understood as the joint and collaborative learning that occurs through stakeholders’ interactions in a process of collective discussion and the search for solutions to environmental problems. Evidence from my own and others’ fieldwork strongly suggests that SL is a fruitful approach to knowledge system integration incorporating ILK, CMH and Western science-based knowledge towards the promotion of “blue resilience” in coastal communities. "
"Manipulating material hydro-worlds: rethinking human and more-than-human relationality through offshore radio piracy","https://scispace.com/paper/manipulating-material-hydro-worlds-rethinking-human-and-more-53un4mrdpj","2012","Journal Article","Environment and Planning A","Kimberley Peters","10.1068/A44413","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses pirate ship materiality to show oceanic agency; lacks governance, community, and urban analysis, limiting full integration of all criteria.","Lambert et al state that emerging geographical studies of social and cultural worlds at sea should take into account the currents, textures, and more-than-human elements of the oceans. In spite of this call there has been little work which seriously considers the physical, more-than-human geography of the sea—its very materiality—and how it comes into play with social and cultural life. This paper draws on the watery excursions of Radio Caroline's pop-pirate broadcasting ships, examining the ways in which the materiality of the sea as a ‘hydro’ state (that is, motionful, deep, and dynamic), has agency; resulting in a variety of visceral affects for those at sea, and also for those listening to the station's transmissions back on dry land. The paper begins by examining the strategic locations of the pop-pirate vessels whilst at sea to manipulate the motionful impact of the ocean and how, in turn, the depth and dynamism of the sea were harnessed to create unique audio experiences for those listening. The pa..."
"Towards a more-than-sea geography: exploring the relational geographies of superrich mobility between sea, superyacht and shore in the Cote d'Azur","https://scispace.com/paper/towards-a-more-than-sea-geography-exploring-the-relational-jxj9puc9k3","2014","Journal Article","Area","Emma Spence","10.1111/AREA.12101","","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses posthuman relational theory to examine superyacht mobility; offers limited hydrosocial insight; lacks governance, community, blue sociology, and urban links, so integration is partial.","Geographies of the sea are no longer a marginal concern in the discipline but are increasingly diverse, encompassing connections, relationalities and materialities that transcend typical human–non-human, wet–dry boundaries. Thus, as studies of the sea become progressively varied, it is necessary to move beyond justifying why we should look at the sea, and towards establishing how, ontologically, geographies of the sea can be done. In response, I present a more-than-sea geography. A more-than-sea geography not only views the maritime in terms of the sea's connections and divides, but also in terms of the diffuse relations that emerge when we view the sea from the sea itself. Drawing on ongoing ethnographic fieldwork of superrich mobility at sea, I identify relational processes within and between sea, ship and shore that shape and are shaped by those who live, work and vacation on board superyachts. Tracing the mobility of the luxury superyacht presents a unique opportunity to identify the more-than-sea relationalities and hyper-mobilities of the superrich, while identifying potential areas of enquiry that can be further informed by a more-than-sea framework."
"Hydrosocial geographies: Cycles, spaces and spheres of concern","https://scispace.com/paper/hydrosocial-geographies-cycles-spaces-and-spheres-of-concern-kxavlz8ylf","2023","Journal Article","Progress in environmental geography","Jeremy J. Schmidt","10.1177/27539687231201667","","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses hydrosocial framework to critique water cycles and link to social spaces; includes posthuman ideas about water agency but lacks ocean‑specific sociology, governance, coastal community focus, or blue urbanism.","Over recent decades, hydrosocial scholarship focusing on the plural, often contested relations of waters and societies has advanced significantly. This article reviews hydrosocial scholarship in three steps that are contextualized by geography's long-standing efforts to use water to ‘think geography’. The article begins by revisiting critiques of the hydrological cycle as circulating free of anthropogenic forces and wholly on the ‘nature’ side of the society/nature dualism. We consider how this critique shapes engagement with other fields where human–water relations are crucial, such as socio-hydrology and those focused on climate change. The article then examines the extension of hydrosocial scholarship from critiques of the hydrological cycle to its use in explaining social spaces, such as territory, urban processes and citizenship. Finally, we consider how hydrosocial scholarship from Black, Indigenous and anti-colonial praxis challenges epistemologies and ontologies that, even in their critiques, recentre Eurocentric notions of water."
"The political ontology of collaborative water governance.","https://scispace.com/paper/the-political-ontology-of-collaborative-water-governance-19yfm4eo6h","2017","Journal Article","Water International","Cameron Harrington","10.1080/02508060.2017.1309507","https://scispace.com/pdf/the-political-ontology-of-collaborative-water-governance-19yfm4eo6h.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses hydrosocial framework to show water as active actant and co‑produces governance, but lacks ocean‑specific focus, sea‑community case, and blue‑urban links; only partially weaves broader elements together.","This article examines the various definitions of, and analytical approaches to, collaborative water governance (CWG). While the concept’s usage has increased over the past decade, there lacks any deep engagement with the concept of the political at the heart of CWG. This article argues that contemporary approaches to CWG risk emptying the concept of its utility and coherence. Correcting this deficiency requires a focus on the social and ideational constructions of water. This will strengthen future collaborative water arrangements and enable deeper appreciation of the ways the political makes and remakes what is possible in water governance."
