id,name,description,axis,level,source
lit_labor_justice_0096,Equitable benefit-sharing in ocean resource governance: Politics and power in marine spatial planning,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Politics and power in marine spatial planning (Wesley Flannery
Jane Clarke
Benedict McAteer, 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0097,Community participation in marine spatial planning: Enacting the blue economy in the Western Indian Ocean: A ‘collaborativ,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Enacting the blue economy in the Western Indian Ocean: A ‘collaborative blue economy governmentality’ (Alex Midlen, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0098,Indigenous and traditional fishing rights advocacy: ‘Social license to operate’ in the Blue Economy,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: ‘Social license to operate’ in the Blue Economy (Michelle Voyer
Judith van Leeuwen, 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0099,Social impact assessment for blue economy projects: Drivers of Blue Economy in Asia and Pacific Island Countries: An Empir,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Drivers of Blue Economy in Asia and Pacific Island Countries: An Empirical Investigation of Tourism and Fisheries Sector (Poulomi Bhattacharya
Aruna Kumar Dash, 2020).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0100,Blue justice frameworks and social sustainability: The blue economy's retreat from equity: A decade under global negotiat,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: The blue economy's retreat from equity: A decade under global negotiation (Philippa Louey, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0101,Equitable benefit-sharing in ocean resource governance: Transforming the governance of small-scale fisheries,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Transforming the governance of small-scale fisheries (Ratana Chuenpagdee
Svein Jentoft, 2018).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0102,Community participation in marine spatial planning: Blind spots in visions of a “blue economy” could undermine the ocean's,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Blind spots in visions of a “blue economy” could undermine the ocean's contribution to eliminating hunger and malnutriti (Anna K Farmery
Edward H. Allison
Neil L. Andrew
Max Troell
M, 2021).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0103,Indigenous and traditional fishing rights advocacy: Blue economy discourses and practices: reconfiguring ocean spaces in t,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Blue economy discourses and practices: reconfiguring ocean spaces in the Philippines (Paula Satizábal
Wolfram Dressler
Michael Fabinyi
Michael D. , 2020).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0104,Labour union organising and collective bargaining: The Human Relationship with Our Ocean Planet,"Literature-derived competence (cluster: Labour union organising and collective bargaining) from Blue economy labour justice & social equity papers. Source paper: The Human Relationship with Our Ocean Planet (C_S4CAM_2202-Pdf-Dumps, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0105,Occupational health and safety at sea: Perspectives on the impact of the COVID-19 pandemic on the global and,"Literature-derived competence (cluster: Occupational health and safety at sea) from Blue economy labour justice & social equity papers. Source paper: Perspectives on the impact of the COVID-19 pandemic on the global and African maritime transport sectors, and the potent (Adekola Oyenuga, 2021).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0106,Small-scale fisheries sustainability and livelihoods: The Environmental Rule of Law for Oceans,"Literature-derived competence (cluster: Small-scale fisheries sustainability and livelihoods) from Blue economy labour justice & social equity papers. Source paper: The Environmental Rule of Law for Oceans (, 2023).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0107,Community participation in marine spatial planning: Theorizing Social Sustainability and Justice in Marine Spatial Plannin,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Theorizing Social Sustainability and Justice in Marine Spatial Planning: Democracy, Diversity, and Equity (Fred Saunders
Michael Gilek
Anda Ikauniece
Ralph Voma Tafon
, 2020).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0108,Indigenous and traditional fishing rights advocacy: Social Justice in Coastal Spaces,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Social Justice in Coastal Spaces (, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0109,Social impact assessment for blue economy projects: Community-Centered Approach to Integrated Coastal Management Strategy,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Community-Centered Approach to Integrated Coastal Management Strategy for Sustainable Development of the Blue Economy in (Emmanuel Sekile Mwasonya -
Stephen Handa -
Elijah Nyaga Muny, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0110,Blue justice frameworks and social sustainability: The disaster resilience assessment of coastal areas: A method for impr,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: The disaster resilience assessment of coastal areas: A method for improving the stakeholders' participation (Arianna Morelli
Andrea Taramelli
Fabio Bozzeda
Fabio Bozzeda, 2021).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0111,Equitable benefit-sharing in ocean resource governance: Ocean resource use: building the coastal blue economy,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Ocean resource use: building the coastal blue economy (Narissa Bax
Camilla Novaglio
Camilla Novaglio
Kimberley H. M, 2021).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0112,Community participation in marine spatial planning: Towards sustainability of marine governance: Challenges and enablers f,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Towards sustainability of marine governance: Challenges and enablers for stakeholder integration in transboundary marine (Andrea Morf
John Moodie
Kira Gee
Alberto Giacometti
Michael , 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0113,Indigenous and traditional fishing rights advocacy: Remaking oceans governance: Critical perspectives on marine spatial pl,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Remaking oceans governance: Critical perspectives on marine spatial planning (L Fairbanks
N Boucquey, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0114,Social impact assessment for blue economy projects: Slaying the Toothless Tiger: Social Equity as the Legal Element of the,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Slaying the Toothless Tiger: Social Equity as the Legal Element of the Blue Economy (Marcus J. Schweinberg
Andreas Raspotnik, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0115,Blue justice frameworks and social sustainability: Marine and coastal places: Wellbeing in a blue economy,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Marine and coastal places: Wellbeing in a blue economy (Maree Fudge
Emily Ogier
Karen A. Alexander, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0116,Equitable benefit-sharing in ocean resource governance: The Blue Growth Smart Specialization Challenges Towards the Restorativ,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: The Blue Growth Smart Specialization Challenges Towards the Restorative Economy (Milen Baltov, 2021).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0117,Community participation in marine spatial planning: Driving Blue Economy for Sustainable Development: A case of stakeholde,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Driving Blue Economy for Sustainable Development: A case of stakeholder collaboration platform development (Nurhadi Siswanto
Sitta Rosdaniah, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0118,Indigenous and traditional fishing rights advocacy: (In)justice and the blue economy,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: (In)justice and the blue economy (Celine Germond-Duret
C. Patrick Heidkamp
John P. Morrissey, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0119,Social impact assessment for blue economy projects: A framework for assessing the blue equity of social-ocean systems in m,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: A framework for assessing the blue equity of social-ocean systems in marine governance transformation (NULL AUTHOR_ID
NULL AUTHOR_ID
NULL AUTHOR_ID, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0120,Blue justice frameworks and social sustainability: Institutionalizing the Blue Economy: an examination of variations and,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Institutionalizing the Blue Economy: an examination of variations and consistencies among Commonwealth countries (Michelle Voyer
D. Benzaken
Constance Rambourg, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0121,Equitable benefit-sharing in ocean resource governance: Problematika ketidakadilan lingkungan dalam pengelolaan wilayah pesisi,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Problematika ketidakadilan lingkungan dalam pengelolaan wilayah pesisir di indonesia (Muhamad Agil Aufa Afinnas, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0122,Community participation in marine spatial planning: Harnessing the potentials of blue economy for sustainable development,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Harnessing the potentials of blue economy for sustainable development of Nigeria (Hammed Damilare Ibrahim, 2018).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0123,Racial equity and anti-discrimination in blue economy: The nigerian blue economy: economic expansion issues and challenges,"Literature-derived competence (cluster: Racial equity and anti-discrimination in blue economy) from Blue economy labour justice & social equity papers. Source paper: The nigerian blue economy: economic expansion issues and challenges (Augustine Okon Jacob
Okon Joseph Umoh, 2022).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0124,Social impact assessment for blue economy projects: Chapter 25 Evaluating the governance of sustainable development: The q,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Chapter 25 Evaluating the governance of sustainable development: The quality and legitimacy of the blue economy (, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0125,"Blue justice frameworks and social sustainability: Blue economy, blue finance and ocean governance for achieving sustaina","Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Blue economy, blue finance and ocean governance for achieving sustainable development goals (Unmana Sarangi, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0126,Precarious work and informality in coastal fisheries: Sharing the seas: a review and analysis of ocean sector interactions,"Literature-derived competence (cluster: Precarious work and informality in coastal fisheries) from Blue economy labour justice & social equity papers. Source paper: Sharing the seas: a review and analysis of ocean sector interactions (Beatrice Crona
Beatrice Crona
Emmy Wassénius
Emmy Wassénius
, 2021).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0127,Community participation in marine spatial planning: Institutional Arrangements for the Blue Economy: Marine Spatial Planni,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Institutional Arrangements for the Blue Economy: Marine Spatial Planning a Way Forward (Daud Hassan
Md. Ashraful Alam Ashraf, 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0128,Indigenous and traditional fishing rights advocacy: A study of Nigeria’s blue economy potential with particular reference,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: A study of Nigeria’s blue economy potential with particular reference to the oil and gas sector (Abubakar Hassan Hamisu, 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0129,Migration and mobile labour in maritime industries: Sustainable growth through value chain development in the blue economy,"Literature-derived competence (cluster: Migration and mobile labour in maritime industries) from Blue economy labour justice & social equity papers. Source paper: Sustainable growth through value chain development in the blue economy: a case study of the port of Walvis Bay (Tangeni Haimbala, 2019).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0130,Fair wage and labour rights in maritime sectors: Blue Economy and Power Politics in the Indian Ocean: Challenges and Op,"Literature-derived competence (cluster: Fair wage and labour rights in maritime sectors) from Blue economy labour justice & social equity papers. Source paper: Blue Economy and Power Politics in the Indian Ocean: Challenges and Opportunities (Dr. Muhammad Asif, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0131,"Seafarer welfare and social protection: Oceans economy, blue economy, and security: notes on the South African","Literature-derived competence (cluster: Seafarer welfare and social protection) from Blue economy labour justice & social equity papers. Source paper: Oceans economy, blue economy, and security: notes on the South African potential and developments (Thean Potgieter, 2018).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0132,Gender equity and inclusion in blue workplaces: Littoral States Maritme Security: Issues and Challenges,"Literature-derived competence (cluster: Gender equity and inclusion in blue workplaces) from Blue economy labour justice & social equity papers. Source paper: Littoral States Maritme Security: Issues and Challenges (Devakumar. j., 2017).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0133,"Indigenous and traditional fishing rights advocacy: Impact of blue economy sectors using causality, correlation and panel","Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Impact of blue economy sectors using causality, correlation and panel data models (Rosa María Martínez-Vázquez
Juan Milán-García
José Ramos Pir, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0134,Social impact assessment for blue economy projects: Current Status and Trends of Blue Economy Development in Indonesia: Po,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Current Status and Trends of Blue Economy Development in Indonesia: Policy Direction, Practice-driven Approaches, and Re (Ziyuan Wang, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0135,Blue justice frameworks and social sustainability: The Implementation of Blue Economy Concept in Indonesia Marine and Fis,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: The Implementation of Blue Economy Concept in Indonesia Marine and Fisheries Governance 2017-2022 (Nibras Fadhlillah, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0136,Equitable benefit-sharing in ocean resource governance: EU Involvement in the Financing of the Blue Economy,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: EU Involvement in the Financing of the Blue Economy (Magdalena Proczek, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0137,Child labour and forced labour prevention in fisheries: Is the Blue Economy possible in Poland?,"Literature-derived competence (cluster: Child labour and forced labour prevention in fisheries) from Blue economy labour justice & social equity papers. Source paper: Is the Blue Economy possible in Poland? (Paulina Szyja
Dorota Michalak, 2022).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0138,Indigenous and traditional fishing rights advocacy: How can the blue economy contribute to inclusive growth and ecosystem,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: How can the blue economy contribute to inclusive growth and ecosystem resources in Asia? A comparative analysis (Biao Geng
Daoning Wu
Chengshu Zhang
Wenbao Xie
Muhammad Aami, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0139,Social impact assessment for blue economy projects: Global blue economy governance – A methodological approach to investig,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Global blue economy governance – A methodological approach to investigating blue economy implementation (Lucky Wuwung
Freya Croft
D. Benzaken
Kamal Azmi
Camille Good, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0140,Blue justice frameworks and social sustainability: Mainstreaming Equity and Justice in the Ocean,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Mainstreaming Equity and Justice in the Ocean (Nathan J. Bennett, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0141,Equitable benefit-sharing in ocean resource governance: Journeys of change towards the blue economy: evaluating process in tra,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Journeys of change towards the blue economy: evaluating process in transformational change (Tegan Evans
Stephen Fletcher
Pierre Failler
Antaya March
Jon, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0142,Community participation in marine spatial planning: The Blue Economy as governmentality and the making of new spatial rati,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: The Blue Economy as governmentality and the making of new spatial rationalities (Young Rae Choi, 2017).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0143,Indigenous and traditional fishing rights advocacy: Towards a sustainable and equitable blue economy,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Towards a sustainable and equitable blue economy (Nathan J. Bennett
Nathan J. Bennett
Andrés M. Cisneros-Monte, 2019).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0144,Social impact assessment for blue economy projects: What is the Blue Economy? A spatialised governmentality perspective,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: What is the Blue Economy? A spatialised governmentality perspective (Alex Midlen, 2021).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0145,Occupational health and safety at sea: Building an inclusive and equitable new blue economy,"Literature-derived competence (cluster: Occupational health and safety at sea) from Blue economy labour justice & social equity papers. Source paper: Building an inclusive and equitable new blue economy (Benjamin E. Cuker
Deidre M. Gibson, 2021).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0146,Equitable benefit-sharing in ocean resource governance: Into the blue – The blue economy model in Operation Phakisa ‘Unlocking,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Into the blue – The blue economy model in Operation Phakisa ‘Unlocking the Ocean Economy’ Programme (Tainã Gonçalves Loureiro
Nicole du Plessis
K. P. Findlay, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0147,"Community participation in marine spatial planning: Challenges, Opportunities, and the Future of the Blue Economy in Indon","Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Challenges, Opportunities, and the Future of the Blue Economy in Indonesia (Poppy Wulandari
Puja Afwanda Mayako
Mutiara Cahyaningrum, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0148,"Decent work standards for aquaculture workers: Opportunities, Challenges, and Solutions in Expanding The Blue Economy","Literature-derived competence (cluster: Decent work standards for aquaculture workers) from Blue economy labour justice & social equity papers. Source paper: Opportunities, Challenges, and Solutions in Expanding The Blue Economy in Sri Lanka: Special Reference to The Fisheries  (E W M A Ekanayake
B. S. Galdolage, 2024).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0149,Migration and mobile labour in maritime industries: Renewable Energies and Blue Economy: New Trends in Global Research,"Literature-derived competence (cluster: Migration and mobile labour in maritime industries) from Blue economy labour justice & social equity papers. Source paper: Renewable Energies and Blue Economy: New Trends in Global Research (José Ramos Pires Manso
Rosa Martínez Vázquez
Juan Milán Garc, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0150,Fair wage and labour rights in maritime sectors: Use of a Delphi Panel to Determine the Degree of Implementation of Blu,"Literature-derived competence (cluster: Fair wage and labour rights in maritime sectors) from Blue economy labour justice & social equity papers. Source paper: Use of a Delphi Panel to Determine the Degree of Implementation of Blue Economy in Spanish Ports (Alberto Camarero Orive
Nicoletta González-Cancelas
Javier Va, 2022).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0151,Equitable benefit-sharing in ocean resource governance: The Role of the Blue Economy in National Development: A Case of Ghana,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: The Role of the Blue Economy in National Development: A Case of Ghana (Benjamin Ashitey Amarh, 2017).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0152,Gender equity and inclusion in blue workplaces: Ukraine's blue economy: potential and prospects for integration into t,"Literature-derived competence (cluster: Gender equity and inclusion in blue workplaces) from Blue economy labour justice & social equity papers. Source paper: Ukraine's blue economy: potential and prospects for integration into the european space (Volodymyr Parsyak
Olena Yu. Zhukova, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0153,Indigenous and traditional fishing rights advocacy: Economic Assessment of Oceans for Sustainable Blue Economy Development,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Economic Assessment of Oceans for Sustainable Blue Economy Development (Maria Corazon M Ebarvia, 2016).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0154,Social impact assessment for blue economy projects: Rethinking sustainability towards a regenerative economy,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Rethinking sustainability towards a regenerative economy (Qunhua Tang, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0155,Occupational health and safety at sea: The Economic Impact of the Blue Economy,"Literature-derived competence (cluster: Occupational health and safety at sea) from Blue economy labour justice & social equity papers. Source paper: The Economic Impact of the Blue Economy (Ana Olteanu
Viorela Stinga, 2019).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0156,Precarious work and informality in coastal fisheries: Digital Twins of the Ocean can foster a sustainable blue economy in a,"Literature-derived competence (cluster: Precarious work and informality in coastal fisheries) from Blue economy labour justice & social equity papers. Source paper: Digital Twins of the Ocean can foster a sustainable blue economy in a protected marine environment (Ute Brönner
Maike Sonnewald
Martin Visbeck, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0157,Community participation in marine spatial planning: Blue Economy in Malaysia: An Endeavour of Achieving the Sustainable De,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Blue Economy in Malaysia: An Endeavour of Achieving the Sustainable Development Goals (SDGs) (Mohd Rozaimy Ridzuan
SoonYew Ju
Noorhazlinda Abd Rahman
Kong, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0158,Indigenous and traditional fishing rights advocacy: Defining the blue economy,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Defining the blue economy (S. Smith-Godfrey, 2016).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0159,Migration and mobile labour in maritime industries: Shipping Operations Management,"Literature-derived competence (cluster: Migration and mobile labour in maritime industries) from Blue economy labour justice & social equity papers. Source paper: Shipping Operations Management (Ilias D. Visvikis
Photis M. Panayides, 2017).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0160,Fair wage and labour rights in maritime sectors: Harnessing the Blue Economy: India's Path to Sustainable Marine Resour,"Literature-derived competence (cluster: Fair wage and labour rights in maritime sectors) from Blue economy labour justice & social equity papers. Source paper: Harnessing the Blue Economy: India's Path to Sustainable Marine Resource Utilization and Economic Growth (Siddhant Naresh Pathak -
V. S. Vyas, 2024).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0161,Artisanal fishing knowledge and ecological literacy: Tourism centres efficiency as spatial unites for applying blue economy,"Literature-derived competence (cluster: Artisanal fishing knowledge and ecological literacy) from Blue economy labour justice & social equity papers. Source paper: Tourism centres efficiency as spatial unites for applying blue economy approach: A case study of the Southern Red Sea re (Moaaz Kabil
Ebtehal Ahmed AbdAlmoity
K. Csoban
L. David, 2022).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0162,Community participation in marine spatial planning: The blue economy and the theory of paradigm shifts,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: The blue economy and the theory of paradigm shifts (Vishva Nath Attri, 2018).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0163,Artisanal fishing knowledge and ecological literacy: Blue Economy is the Economic Activities that Directly or Indirectly Ta,"Literature-derived competence (cluster: Artisanal fishing knowledge and ecological literacy) from Blue economy labour justice & social equity papers. Source paper: Blue Economy is the Economic Activities that Directly or Indirectly Take Place in the Ocean and Seas, Use Outputs, Goods (A S Ninawe, 2017).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0164,Social impact assessment for blue economy projects: Ocean defenders and human rights,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Ocean defenders and human rights (Nathan J. Bennett
Rocío López de la Lama
Philippe Le Billon
, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0165,Occupational health and safety at sea: Oceans and Blue Economies,"Literature-derived competence (cluster: Occupational health and safety at sea) from Blue economy labour justice & social equity papers. Source paper: Oceans and Blue Economies (Ken P. Findlay, 2020).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0166,Precarious work and informality in coastal fisheries: Maritime Justice: A Commentary,"Literature-derived competence (cluster: Precarious work and informality in coastal fisheries) from Blue economy labour justice & social equity papers. Source paper: Maritime Justice: A Commentary (Jennifer A. Martin, ).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0167,Community participation in marine spatial planning: Navigating the currents of coastal narratives in search of sustainable,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Navigating the currents of coastal narratives in search of sustainable futures (Shona Paterson
Ilan Chabay, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0168,Indigenous and traditional fishing rights advocacy: Urgensi Implementasi Konsep Ekonomi Biru dalam Tata Kelola Sektor Kela,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Urgensi Implementasi Konsep Ekonomi Biru dalam Tata Kelola Sektor Kelautan Indonesia (Muhammad Rafi Darajati, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
